day;month;year;objective;Spend;Impressions;Reach;Frequency;Clicks;CTR;PageView;LeadTotal
1;12;2023;1;37,93;3174;3095;1,03;46;1,45;9;12
1;12;2023;1;93,51;6516;6405;1,02;92;1,41;9;18
1;12;2023;1;0,57;59;58;1,02;0;0;0;0
1;12;2023;1;0,42;13;12;1,08;0;0;0;0
1;12;2023;1;0,63;40;40;1;0;0;0;0
1;12;2023;1;131,51;6958;6091;1,14;66;0,95;9;14
1;12;2023;1;0,35;20;20;1;0;0;0;0
1;12;2023;1;1,06;69;68;1,01;2;2,9;0;0
1;12;2023;1;0,57;36;35;1,03;0;0;0;0
1;12;2023;1;98,65;6899;6551;1,05;78;1,13;8;10
1;12;2023;1;0,01;3;3;1;0;0;0;0
1;12;2023;1;0,02;5;5;1;0;0;0;0
1;12;2023;1;0,09;16;16;1;0;0;0;0
1;12;2023;1;21,68;1721;1692;1,02;11;0,64;0;1
1;12;2023;1;0,03;2;2;1;0;0;0;0
1;12;2023;1;27,28;1969;1921;1,02;12;0,61;0;0
1;12;2023;1;0,02;3;3;1;0;0;0;0
1;12;2023;1;0,13;6;6;1;0;0;0;0
1;12;2023;1;86,36;3452;3220;1,07;51;1,48;8;10
1;12;2023;1;1,3;86;84;1,02;0;0;0;0
1;12;2023;1;0,2;25;25;1;0;0;0;0
1;12;2023;1;0,66;56;53;1,06;0;0;0;0
1;12;2023;2;0,17;11;10;1,1;0;0;0;0
1;12;2023;2;0,87;50;48;1,04;0;0;0;0
1;12;2023;2;12,36;739;714;1,04;2;0,27;0;0
1;12;2023;2;0,12;8;8;1;0;0;0;0
1;12;2023;2;0,51;25;24;1,04;2;8;0;0
1;12;2023;2;44,98;2475;2347;1,05;19;0,77;0;0
1;12;2023;2;1,31;97;89;1,09;0;0;0;0
1;12;2023;3;39,39;3265;3157;1,03;21;0,64;0;4
1;12;2023;3;0,67;25;24;1,04;0;0;0;0
1;12;2023;3;0,34;12;12;1;0;0;0;0
1;12;2023;3;29,39;1343;1284;1,05;20;1,49;1;2
1;12;2023;3;27,62;1355;1344;1,01;21;1,55;0;2
1;12;2023;3;7,27;532;512;1,04;4;0,75;0;1
1;12;2023;3;26,95;1093;1076;1,02;25;2,29;2;9
1;12;2023;3;7,05;497;478;1,04;7;1,41;2;3
1;12;2023;3;0,04;1;1;1;0;0;0;0
1;12;2023;3;29,45;1932;1868;1,03;20;1,04;1;4
1;12;2023;3;0,12;10;10;1;0;0;0;0
1;12;2023;3;0,05;2;2;1;0;0;0;0
1;12;2023;3;20,13;1266;1251;1,01;7;0,55;0;2
1;12;2023;3;39,34;2839;2788;1,02;33;1,16;6;7
1;12;2023;3;29,67;2080;2001;1,04;28;1,35;1;5
1;12;2023;3;0,21;1;1;1;0;0;0;0
1;12;2023;3;0,31;18;18;1;0;0;0;0
1;12;2023;3;27,82;1804;1720;1,05;22;1,22;3;5
1;12;2023;3;0,22;31;31;1;0;0;0;0
1;12;2023;3;24,57;1321;1295;1,02;11;0,83;0;2
1;12;2023;3;19,92;558;547;1,02;6;1,08;1;1
1;12;2023;3;29,58;1378;1334;1,03;38;2,76;4;6
1;12;2023;3;30,58;1234;1192;1,04;14;1,13;0;1
1;12;2023;3;9,25;627;607;1,03;5;0,8;1;0
1;12;2023;3;34,77;1637;1561;1,05;23;1,41;2;4
2;12;2023;1;38,2;2806;2732;1,03;35;1,25;2;4
2;12;2023;1;97,77;5978;5923;1,01;72;1,2;5;13
2;12;2023;1;0,22;24;24;1;0;0;0;0
2;12;2023;1;0,18;13;10;1,3;0;0;0;0
2;12;2023;1;3,54;172;167;1,03;4;2,33;1;1
2;12;2023;1;122,42;6756;6140;1,1;82;1,21;13;17
2;12;2023;1;3,11;134;124;1,08;0;0;0;0
2;12;2023;1;0,2;19;18;1,06;0;0;0;0
2;12;2023;1;8,32;431;413;1,04;3;0,7;0;1
2;12;2023;1;100,7;6430;5998;1,07;90;1,4;12;16
2;12;2023;1;0,02;2;2;1;0;0;0;0
2;12;2023;1;0,02;4;4;1;0;0;0;0
2;12;2023;1;29,27;1956;1916;1,02;24;1,23;2;6
2;12;2023;1;0,02;2;2;1;0;0;0;0
